"Tipo de Gestion","Modalidad","Número","Año","Objeto","Descripción","Rubros|SubRubros","Moneda del pliego","Monto Original","Organismo Licitante","Organismos Comitentes","Fecha y Hora de Apertura","Lugar de Apertura","Moneda del pliego","Valor del Pliego   ","Expedientes","Enlaces Documentacion","Estado de la Gestion","Fecha de Último Estado"
"LICITACIÓN PÚBLICA","Convenio Marco","70",2018,"CELEBRACION DE UN CONVENIO MARCO PARA LA ADQUISICION DE INSUMOS PARA TRABAJOS DE IMPRESION CON DESTINO A LA IMPRENTA OFICIAL DE LA PROVINCIA DEPENDIENTE DEL MINISTERIO DE GOBIERNO Y REFORMA DEL ESTADO","ADQUISICION DE INSUMOS PARA TRABAJOS DE IMPRESION CON DESTINO A LA IMPRENTA OFICIAL DE LA PROVINCIA","INSUMOS P/A.GRAFICAS-MATERIAL P/ENCUADERNAR/INSUMOS P/A.GRAFICAS-MATERIAL P/ENCUADERNAR","PESOS",1,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","MINISTERIO DE GOBIERNO Y REFORMA DEL ESTADO","07-08-2018 10:00 hs.","SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES: MENDOZA 2905 - PRIMER PISO DE LA CIUDAD DE SANTA FE.","PESOS","$  0 -","00306-0009558-2","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121241&contar=1&solodocs=1","EN TRAMITE","07-08-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","70",2018,"CONTRATACION DE UN SERVICIO DE VIGILANCIA CON DESTINO AL MUSEO ETNOGRAFICO Y COLONIAL ""JUAN DE GARAY"" DEPENDIENTE DEL MINISTERIO DE INNOVACION Y CULTURA","CONTRATACION SERVICIO DE VIGILANCIA","OTROS SERVICIOS/VIGILANCIA","PESOS",355740,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","MINISTERIO DE INNOVACIÓN Y CULTURA","26-07-2018 11:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS",,"01201-0012733-2","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121204&contar=1&solodocs=1","EN TRAMITE","26-07-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","70",2018,"CTRO DE PEDIDO: FARMACIA FACTOR VII","FACTOR VII RECOMBINANTE HUMANO (EPTACOG ALFA ACTIVADO) 1 MG FCO AMPOLLA","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",200000,"HOSPITAL CENTENARIO ROSARIO","HOSPITAL CENTENARIO ROSARIO","10-09-2018 10:00 hs.","OFICINA DE COMPRAS","PESOS","SON PESOS OCHENTA CON 00/100 ($ 80.-)","2924/2018","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121412&contar=1&solodocs=1","EN TRAMITE","10-09-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","705",2018,"COMPRA DE INSUMOS DE LIBRERIA",,"LIBRERIA/ARTICULOS DE LIBRERIA","PESOS",145000,"HOSPITAL DR. ALEJANDRO GUTIERREZ - VENADO TUERTO","HOSPITAL DR. ALEJANDRO GUTIERREZ - VENADO TUERTO","05-01-2018 09:00 hs.","OFICINA DE COMPRAS","PESOS","$ 58",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120591&contar=1&solodocs=1","EN TRAMITE","05-01-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","706",2018,"COMPRA DE PAÑALES PARA P.I.S",,"ARTICULOS DE PERFUMERIA/ARTICULOS DE PERFUMERIA","PESOS",207500,"HOSPITAL DR. ALEJANDRO GUTIERREZ - VENADO TUERTO","HOSPITAL DR. ALEJANDRO GUTIERREZ - VENADO TUERTO","05-01-2018 09:00 hs.","OFICINA DE COMPRAS","PESOS","$ 83",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120592&contar=1&solodocs=1","EN TRAMITE","05-01-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","707",2018,"INSUMOS DESCARTABLES PARA P.I.S",,"EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/MATERIAL DESCARTABLE","PESOS",150000,"HOSPITAL DR. ALEJANDRO GUTIERREZ - VENADO TUERTO","HOSPITAL DR. ALEJANDRO GUTIERREZ - VENADO TUERTO","09-01-2018 09:00 hs.","OFICINA DE COMPRAS","PESOS","$ 60",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120593&contar=1&solodocs=1","EN TRAMITE","09-01-2018 23:20 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","71",2018,"ADQUISICION DE EQUIPAMIENTO PARA EXTINCION DE INCENDIOS PARA LA DIRECCION GENERAL DE BOMBEROS DE LA POLICIA DE LA PROVINCIA DEPENDIENTE DEL MINISTERIO DE SEGURIDAD","ADQUISICION DE EQUIPAMIENTO PARA EXTINCION DE INCENDIOS","EQUIPOS Y ELEMENTOS DE SEGURIDAD Y PROTECCION/EQUIPOS C/INCENDIO Y DE RESCATE-REP. E INSUMOS","PESOS",3120240,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","MINISTERIO DE SEGURIDAD","29-08-2018 10:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS","$ 1250","00201-0188473-0","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121308&contar=1&solodocs=1","EN TRAMITE","29-08-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","71",2018,"CONTRATACION DE UN SERVICIO DE LIMPIEZA Y MANTENIMIENTO DE ESPACIOS VERDES CON DESTINO AL PREDIO DEL CENTRO DE ALTO RENDIMIENTO DEPORTIVO DEPENDIENTE DE LA SECRETARIA DE DESARROLLO DEPORTIVO DEL MINISTERIO DE DESARROLLO SOCIAL","CONTRAT. DE SERVICIO DE LIMPIEZA Y MANT. DE ESPACIOS VERDES","SERVICIO DE MANTENIMIENTO, REPARACION Y LIMPIEZA/SERVICIO DE LIMPIEZA","PESOS",324000,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","MINISTERIO DE DESARROLLO SOCIAL","01-08-2018 10:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS",,"01504-0001427-8","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121224&contar=1&solodocs=1","EN TRAMITE","01-08-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","71",2018,"CTRO DE PEDIDO: FARMACIA- FACTOR IX","FACTOR IX ANTIHEMOFILICO LIOFILIZADO 1000 UI","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",999000,"HOSPITAL CENTENARIO ROSARIO","HOSPITAL CENTENARIO ROSARIO","10-09-2018 10:30 hs.","OFICINA DE COMPRAS","PESOS","SON PESOS CUATROCIENTOS CON 00/100 ($ 400.-)","2926/2018","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121415&contar=1&solodocs=1","EN TRAMITE","10-09-2018 23:20 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","72",2018,"ADQUISICION DE VEINTE (20) MOTOCICLETAS ALTA CILINDRARA EQUIPADAS PARA PATRULLAJE CON DESTINO A LA POLICIA DE SEGURIDAD VIAL DE LA AGENCIA PROVINCIAL DE SEGURIDAD VIAL DEPENDIENTE DEL MINISTERIO DE SEGURIDAD","ADQUISICION DE MOTOCICLETAS EQUIPADAS PARA PATRULLAJE","VEHICULOS-EMBARCACIONES-INSUMOS-REPUESTOS/VEHICULOS","PESOS",20800000,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","AGENCIA DE SEGURIDAD VIAL - DECRETO 1698/08","21-08-2018 10:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS","$ 8320","00201-0189320-0","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121269&contar=1&solodocs=1","EN TRAMITE","21-08-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","72",2018,"ADQUISICION DE EQUIPAMIENTO INFORMATICO CON DESTINO A LA CAJA DE JUBILACIONES Y PENSIONES DEPENDIENTE DEL MINISTERIO DE TRABAJO Y SEGURIDAD SOCIAL","ADQUISICION DE EQUIPAMIENTO INFORMATICO","INFORMATICA/EQUIPOS E INSUMOS DE COMPUTACION","PESOS",327200,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","CAJA DE JUBILACIONES Y PENSIONES DE LA PROVINCIA","31-07-2018 10:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS",,"15120-0127951-8","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121206&contar=1&solodocs=1","EN TRAMITE","31-07-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","72",2018,"CTRO DE PEDIDO: FARMACIA- TRASTUZUMAB EMTANSINE","TRASTUZUMAB EMTANSINE 160 MG Y TRASTUZUMAB EMTANSINE 100 MG","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",700000,"HOSPITAL CENTENARIO ROSARIO","HOSPITAL CENTENARIO ROSARIO","11-09-2018 10:00 hs.","OFICINA DE COMPRAS","PESOS","SON PESOS DOSCIENTOS OCHENTA CON 00/100 ($ 280.-)","2937/2018","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121416&contar=1&solodocs=1","EN TRAMITE","11-09-2018 23:20 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","73",2018,"ADQUISICION DE REPUESTOS PARA LOS HELICOPTEROS BOLKOW BO105 LQ-GBQ Y LQ-ZHO CON DESTINO A LA DIRECCION PROVINCIAL DE MOVILIDAD Y AERONAUTICA DEPENDIENTE DEL MINISTERIO DE GOBIERNO Y REFORMA DEL ESTADO","ADQUISICION DE REPUESTOS PARA HELICOPTEROS","VEHICULOS-EMBARCACIONES-INSUMOS-REPUESTOS/REPUESTOS Y ACCESORIOS PARA AERONAVES","PESOS",1890000,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","MINISTERIO DE GOBIERNO Y REFORMA DEL ESTADO (DIR. ADM.)","21-08-2018 11:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS","$ 760","00110-0000127-6","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121270&contar=1&solodocs=1","EN TRAMITE","21-08-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","73",2018,"ADQUISICION DE UN (1) EQUIPO REMOVEDOR DE COMPOST CON DESTINO A LA DIRECCION PROVINCIAL DE GESTION DE RESIDUOS URBANOS DEPENDIENTE DEL MINISTERIO DE MEDIO AMBIENTE","ADQUISICION DE EQUIPO REMOVEDOR DE COMPOST","MAQUINAS, HERRAM., ELEMENTOS Y ACCESORIOS/MAQUINAS Y EQUIPOS DE PROCESAMIENTO Y RECICLAJE","PESOS",273280,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES|  MINISTERIO DE MEDIO AMBIENTE","03-08-2018 10:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS",,"02101-0018654-8","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121243&contar=1&solodocs=1","CONCLUIDA","04-09-2018 00:00 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","73",2018,"CTRO DE PEDIDO: FARMACIA- FACTOR IX","FACTOR IX ANTIHEMOFILICO LIOFILIZADO 1000 UI","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",999000,"HOSPITAL CENTENARIO ROSARIO","HOSPITAL CENTENARIO ROSARIO","11-09-2018 10:30 hs.","OFICINA DE COMPRAS","PESOS","SON PESOS CUATROCIENTOS CON 00/100 ($  400.-)","2938/2018","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121417&contar=1&solodocs=1","EN TRAMITE","11-09-2018 23:20 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","74",2018,"ADQUISICION DE CUARENTA (40) CAMIONETAS EQUIPADAS PARA PATRULLAJE CON DESTINO A LA POLICIA DE SEGURIDAD VIAL DEPENDIENTE DE LA AGENCIA PROVINCIAL DE SEGURIDAD VIAL DEL MINISTERIO DE SEGURIDAD","ADQUISICION DE CAMIONETAS EQUIPADAS PARA PATRULLAJE","VEHICULOS-EMBARCACIONES-INSUMOS-REPUESTOS/VEHICULOS","PESOS",36000000,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","AGENCIA DE SEGURIDAD VIAL - DECRETO 1698/08","28-08-2018 11:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS","$ 14400","00201-0189319-6","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121302&contar=1&solodocs=1","EN TRAMITE","28-08-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","74",2018,"ADQUISICION DE UN (1) EQUIPO COMPACTADOR VERTICAL DE RESIDUOS CON DESTINO A LA DIRECCION PROVINCIAL DE GESTION DE RESIDUOS URBANOS DEPENDIENTE DEL MINISTERIO DE MEDIO AMBIENTE","ADQUISICION DE EQUIPO COMPACTADOR VERTICAL DE RESIDUOS","MAQUINAS, HERRAM., ELEMENTOS Y ACCESORIOS/MAQUINAS Y EQUIPOS DE PROCESAMIENTO Y RECICLAJE","PESOS",250000,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","MINISTERIO DE MEDIO AMBIENTE","02-08-2018 11:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS",,"02101-0018655-9","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121225&contar=1&solodocs=1","EN TRAMITE","02-08-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","74",2018,"CTRO DE PEDIDO: FARMACIA- SOLUCIONES PARENTERALES","SOLUCIONES PARENTERALES PARA TRES MESES","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",250000,"HOSPITAL CENTENARIO ROSARIO","HOSPITAL CENTENARIO ROSARIO","12-09-2018 10:00 hs.","OFICINA DE COMPRAS","PESOS","SON PESOS  CIEN CON 00/100 ($ 100.-)","2970/2018","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121418&contar=1&solodocs=1","PARA APERTURA","03-09-2018 17:03 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","75",2018,"CONTRATACION DE UN SERVICIO DE VIGILANCIA CON DESTINO AL ESPACIO CULTURAL ""LA REDONDA ARTE Y VIDA COTIDIANA"", DEPENDIENTE DEL MINISTERIO DE INNOVACION Y CULTURA","CONTRATACION SERVICIO DE VIGILANCIA","OTROS SERVICIOS/VIGILANCIA","PESOS",503481,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","MINISTERIO DE INNOVACIÓN Y CULTURA","27-08-2018 10:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS",,"01201-0011822-0","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121298&contar=1&solodocs=1","EN TRAMITE","27-08-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","75",2018,"CONTRATACION DE UN SERVICIO DE LIMPIEZA CON DESTINO A LA CASA DE LA CULTURA ARIJON EN LA CIUDAD DE ROSARIO DEPENDIENTE DEL MINISTERIO DE INNOVACION Y CULTURA","CONTRATACION DE UN SERVICIO DE LIMPIEZA","SERVICIO DE MANTENIMIENTO, REPARACION Y LIMPIEZA/SERVICIO DE LIMPIEZA","PESOS",274620,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","MINISTERIO DE INNOVACIÓN Y CULTURA","14-08-2018 11:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS",,"01201-0012811-3","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121226&contar=1&solodocs=1","EN TRAMITE","14-08-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","75",2018,"CTRO DE PEDIDO: FARMACIA- INSUMOS PARA QUIRÓFANO","INSUMOS PARA QUIRÓFANO ","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",600000,"HOSPITAL CENTENARIO ROSARIO","HOSPITAL CENTENARIO ROSARIO","12-09-2018 10:30 hs.","OFICINA DE COMPRAS","PESOS","SON PESOS DOSCIENTOS CUARENTA CON 00/100 ($ 240.-)","2971/2018","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121419&contar=1&solodocs=1","PARA APERTURA","03-09-2018 18:30 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","76",2018,"CONTRATACION DE UN SERVICIO DE LIMPIEZA CON DESTINO A LA CAJA DE JUBILACIONES Y PENSIONES DE LA PROVINCIA DE SANTA FE - DELEGACION ROSARIO - DEPENDIENTE DEL MINISTERIO DE TRABAJO Y SEGURIDAD SOCIAL","CONTRATACION SERVICIO DE LIMPIEZA","SERVICIO DE MANTENIMIENTO, REPARACION Y LIMPIEZA/CONTROL DE PLAGAS Y DESECHOS","PESOS",874920,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","CAJA DE JUBILACIONES Y PENSIONES DE LA PROVINCIA","28-08-2018 10:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS","$ 350","15120-0129757-0","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121299&contar=1&solodocs=1","EN TRAMITE","28-08-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","76",2018,"ADQUISICION DE EQUIPAMIENTO PARA PREVENCION, DETECCION E IDENTIFICACION DE FALLAS Y REPARACION DE ENLACES OPTICOS CON DESTINO A LA SECRETARIA DE TECNOLOGIAS PARA LA GESTION DEPENDIENTE DEL MINISTERIO DE GOBIERNO Y REFORMA DEL ESTADO","ADQUISICION DE EQUIPAMIENTO PARA REPARACION ENLACES OPTICOS","ELECTRICIDAD - ILUMINACION/ELEMENTOS Y EQUIPOS PARA ILUMINACION|  INFORMATICA/EQUIPOS E INSUMOS DE COMPUTACION|  EQUIPOS Y ELEMENTOS FOTOGRAFICOS - INSUMOS/EQUIPOS Y ELEMENTOS FOTOGRAFICOS - INSUMOS|  PROV. INST. Y PUESTA EN FUNCIONAMIENTO/PROV. INST. Y PUESTA EN FUNCIONAMIENTO","PESOS",783000,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","MINISTERIO DE GOBIERNO Y REFORMA DEL ESTADO (DIR. ADM.)","10-08-2018 10:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS","$ 320","00108-0009769-2","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121271&contar=1&solodocs=1","EN TRAMITE","10-08-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","76",2018,"CTRO DE PEDIDO: FARMACIA- VISMODEGIB","VISMODEGIB150 MG","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",600000,"HOSPITAL CENTENARIO ROSARIO","HOSPITAL CENTENARIO ROSARIO","13-09-2018 10:00 hs.","OFICINA DE COMPRAS","PESOS","SON PESOS DOSCIENTOS CUARENTA CON 00/100 ($ 240.-)","2972/2018","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121422&contar=1&solodocs=1","PARA APERTURA","04-09-2018 10:06 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","77",2018,"CONTRATACION DE UN SERVICIO DE LIMPIEZA Y MANTENIMIENTO DE ESPACIOS VERDES, ESTRUCTURA DEPORTIVA Y EDILICIA CON DESTINO AL PREDIO DE LA ESQUINA ENCENDIDA DEPENDIENTE DE LA SECRETARIA DE DESARROLLO DEPORTIVO DEL MINISTERIO DE DESARROLLO SOCIAL","SERVICIO DE LIMPIEZA Y MANTENIMIENTO DE ESPACIOS VERDES","SERVICIO DE MANTENIMIENTO, REPARACION Y LIMPIEZA/SERVICIO DE MANTENIMIENTO Y REP. EDIFICIOS","PESOS",540000,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","MINISTERIO DE DESARROLLO SOCIAL","07-09-2018 10:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS",,"01504-0001723-1","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121358&contar=1&solodocs=1","EN TRAMITE","07-09-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","77",2018,"ADQUISICION DE EQUIPAMIENTO INFORMATICO CON DESTINO A LA SECRETARIA DE RECURSOS HUMANOS Y FUNCION PUBLICA DEPENDIENTE DEL MINISTERIO DE ECONOMIA","ADQUISICION DE EQUIPAMIENTO INFORMATICO","INFORMATICA/EQUIPOS E INSUMOS DE COMPUTACION","PESOS",629000,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES|  MINISTERIO DE ECONOMÍA (DIR. GRAL ADM)","02-08-2018 10:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS","$ 260","00322-0011468-5","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121227&contar=1&solodocs=1","CONCLUIDA","12-09-2018 00:00 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","77",2018,"CTRO DE PEDIDO: FARMACIA- MACITENTAN","MACITENTAN 10 MG COMP","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",400000,"HOSPITAL CENTENARIO ROSARIO","HOSPITAL CENTENARIO ROSARIO","14-09-2018 10:00 hs.","OFICINA DE COMPRAS","PESOS","SON PESOS CIENTO SESENTA CON 00/100 _($ 160.-)","2998/2018","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121431&contar=1&solodocs=1","PARA APERTURA","06-09-2018 12:26 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","78",2018,"ADQUISICION DE DOS (2) CAMIONETAS CON DESTINO A LA DIRECCION GENERAL DE RECURSOS NATURALES Y ECOLOGIA DEPENDIENTE DE LA SUBSECRETARIA DE RECURSOS NATURALES DEL MINISTERIO DE MEDIO AMBIENTE","ADQUISICION DE CAMIONETAS","VEHICULOS-EMBARCACIONES-INSUMOS-REPUESTOS/VEHICULOS","PESOS",1800000,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","MINISTERIO DE MEDIO AMBIENTE","03-09-2018 10:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS","$ 720","02101-0019204-4","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121327&contar=1&solodocs=1","EN TRAMITE","03-09-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","78",2018,"CONTRATACION DE UN SERVICIO DE EXTENSION DE GARANTÍA PARA DOS (2) ROUTERS CISCO BPG CON DESTINO A LA SECRETARIA DE TECNOLOGIAS PARA LA GESTION DEPENDIENTE DEL MINISTERIO DE GOBIERNO Y REFORMA DEL ESTADO","CONTRATACION DE UN SERVICIO DE EXTENSION DE GARANTÍA ","INFORMATICA/EQUIPOS E INSUMOS DE COMPUTACION","PESOS",326700,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","MINISTERIO DE GOBIERNO Y REFORMA DEL ESTADO (DIR. ADM.)","08-08-2018 10:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS",,"00306-0009394-2","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121264&contar=1&solodocs=1","EN TRAMITE","08-08-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","78",2018,"CTRO DE PEDIDO: FARMACIA ANFOTERICINA LIPOSOMAL","ANFOTERICINA LIPOSOMAL","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",999000,"HOSPITAL CENTENARIO ROSARIO","HOSPITAL CENTENARIO ROSARIO","18-09-2018 10:00 hs.","OFICINA DE COMPRAS","PESOS","SON PESOS CUATROCIENTOS CON 00/100 ($ 400.-)","3031/2018","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121443&contar=1&solodocs=1","PARA APERTURA","10-09-2018 13:03 hs."
"LICITACIÓN PÚBLICA","Convenio Marco","79",2018,"CELEBRACION DE UN CONVENIO MARCO PARA LA ADQUISICIÓN DE ELEMENTOS MÉDICOS A DEMANDA  DE CIRUGIA GENERAL Y OTROS, DE ACUERDO A LA PRESCRIPCIÓN MÉDICA Y EN ORDEN A LA DEMANDA EFECTIVA QUE EFECTÚEN LOS AFILIADOS AL I.A.P.O.S.","ADQUISICIÓN DE ELEMENTOS MÉDICOS A DEMANDA  DE CIRUGIA GENERAL Y OTROS","EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/EQUIPOS, INSTRUMENTAL E INSUMOS MEDICOS|  EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/NEUROCIRUGIA","PESOS",1,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","INSTITUTO AUTÁRQUICO PROVINCIAL DE OBRA SOCIAL","18-09-2018 10:00 hs.","SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES: MENDOZA 2905 - PRIMER PISO DE LA CIUDAD DE SANTA FE.","PESOS","$   0 -","15302-0013661-0","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121349&contar=1&solodocs=1","PARA APERTURA","16-08-2018 07:49 hs."
